編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLQKJIKFFDN09CA,20,214.33,住家用,鋼筋混凝土造,84年10月7日,十二層,十層 十一層 見其他登記事項
RPSOMLQKJIKFFDN09CA,20,6.53,管理室,鋼筋混凝土造,84年10月7日,十二層,
RPRNMLRLJIKFFEN56CA,25,209.52,廠房，員工宿舍，辦公室，工業區,鋼筋混凝土造,80年3月18日,三層,一層 二層 三層
RPQNMLQJJIKFFDN68CA,37,86.10,住家用,鋼筋混凝土加強磚造,68年4月6日,二層,一層 二層
RPQNMLQKJIKFFCN68CA,,177.64,人行道、店舖、住宅、梯間,鋼筋混凝土造,104年7月30日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPRNMLQKJIKFFCN78CA,,177.64,人行道、店舖、住宅、梯間,鋼筋混凝土造,104年7月30日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPTNMLQKJIKFFCN98CA,,178.73,人行道、店舖、住宅、梯間,鋼筋混凝土造,104年7月30日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPVNMLQLJIKFFAN09CA,,266.45,停車空間、店舖、住宅,鋼筋混凝土造,104年8月4日,五層,一層 二層 三層 四層 五層 陽台
RPVNMLQLJIKFFAN09CA,,305.08,停車空間、店舖、住宅,鋼筋混凝土造,104年8月4日,五層,一層 二層 三層 四層 五層 陽台
RPXNMLQLJIKFFAN66CA,,313.54,停車空間、店舖、住宅,鋼筋混凝土造,104年8月4日,五層,一層 二層 三層 四層 五層 陽台
RPPOMLQLJIKFFAN58CA,,316.30,停車空間、診所、住宅,鋼筋混凝土造,104年8月4日,五層,一層 二層 三層 四層 五層 陽台
RPPNMLMLJIKFFDN38CA,,195.93,住宅、停車空間,鋼筋混凝土造,104年5月8日,四層,一層 二層 三層 四層 陽台
RPPOMLSKJIKFFDN98CA,,201.20,店鋪、住宅、停車空間、樓梯間,鋼筋混凝土造,104年7月31日,三層,一層 二層 三層 陽台 見其他登記事項
RPXPMLRLJIKFFAN96CA,2,352.65,防空避難室、住宅、梯間,鋼筋混凝土造,102年11月22日,三層,一層 二層 三層 陽台 屋頂突出物 地下一層
RPQOMLKKJIKFFAN97CA,19,80.59,住家用,鋼筋混凝土造,86年1月9日,八層,四層 陽台 花台
RPQOMLKKJIKFFAN97CA,19,11.76,停車空間、防空避難室,鋼筋混凝土造,86年1月9日,八層,
RPQOMLKKJIKFFAN97CA,19,8.31,梯間,鋼筋混凝土造,86年1月9日,八層,
RPROMLQLJIKFFAN78CA,,314.98,停車空間、店舖、住宅,鋼筋混凝土造,104年8月4日,五層,一層 二層 三層 四層 五層 陽台
RPQOMLSKJIKFFAN78CA,27,166.50,農舍,加強磚造,77年10月13日,二層,一層 二層
RPTNMLPJJIKFFCN78CA,35,136.50,住商用,鋼筋混凝土加強磚造,69年12月12日,二層,一層 二層 騎樓
RPRNMLPJJIKFFCN58CA,1,165.53,住宅,鋼筋混凝土造,103年12月4日,四層,一層 二層 三層 四層 陽台
RPTOMLQLJIKFFAN98CA,,315.29,停車空間、店舖、住宅,鋼筋混凝土造,104年8月4日,五層,一層 二層 三層 四層 五層 陽台
RPQNMLKLJIKFFBN08CA,,233.52,住家用,鋼筋混凝土造,104年8月5日,三層,一層 二層 三層 陽台 騎樓
RPRNMLKLJIKFFBN18CA,,161.87,住家用,鋼筋混凝土造,104年8月5日,三層,一層 二層 三層 陽台
RPXNMLLKJIKFFCN88CA,,156.03,住宅、停車空間、梯間,鋼筋混凝土造,104年6月8日,三層,一層 二層 三層 屋頂突出物 雨遮
RPXNMLLKJIKFFCN88CA,,161.13,住宅、停車空間、梯間,鋼筋混凝土造,104年6月8日,三層,一層 二層 三層 屋頂突出物 雨遮
RPUNMLSKJIKFFAN09CA,21,82.22,住家用,鋼筋混凝土造,83年8月23日,八層,五層 陽台
RPUNMLSKJIKFFAN09CA,21,24.83,避難室、停車空間、車道、通路,鋼筋混凝土造,83年8月23日,八層,
RPUNMLSKJIKFFAN09CA,21,10.98,梯間,鋼筋混凝土造,83年8月23日,八層,
RPTNMLRKJIKFFAN88CA,43,148.95,住家用,鋼筋混凝土加強磚造,62年1月24日,三層,一層 二層 三層
RPRPMLQJJIKFFAN68CA,37,150.30,住商用,鋼筋混凝土加強磚造,67年8月24日,三層,一層 二層 三層 騎樓
RPWNMLOLJIKFFCN56CA,32,126.40,住家用,加強磚造,73年1月7日,二層,一層 二層 騎樓
RPPNMLKKJIKFFAN77CA,17,79.08,住家用,鋼筋混凝土造,87年4月22日,七層,三層 陽台
RPPNMLKKJIKFFAN77CA,17,24.59,避難室、停車空間、機械室、梯間、水箱,鋼筋混凝土造,87年4月22日,七層,
RPTNMLKKJIKFFAN18CA,27,204.50,住家用,鋼筋混凝土造,77年10月28日,四層,一層 二層 三層 四層 地下層
RPPNMLQKJIKFFCN58CA,,177.64,人行道、店舖、住宅、梯間,鋼筋混凝土造,104年7月30日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPSNMLTJJIKFFDN56CA,41,61.20,住家用,鋼筋混凝土加強磚造,63年11月14日,二層,一層 二層
RPRNMLTJJIKFFEN56CA,20,150.23,住家用,鋼筋混凝土造,84年12月18日,三層,一層 二層 三層 屋頂突出物
RPSNMLSLJIKFFDN66CA,21,54.71,住家用,鋼筋混凝土造,84年3月6日,七層,七層 陽台 花台
RPSNMLSLJIKFFDN66CA,21,17.93,電樓梯、汽車昇降機、停車空間、防空避難室,鋼筋混凝土造,84年3月6日,七層,
RPQNMLLKJIKFFEN38CA,26,168.90,住商用,鋼筋混凝土造,78年5月11日,三層,一層 二層 三層 騎樓
RPSNMLNKJIKFFAN48DA,26,91.98,住家用,鋼筋混凝土造,78年7月8日,五層,四層
RPSNMLNKJIKFFAN48DA,26,6.60,樓梯,鋼筋混凝土造,78年7月8日,五層,
RPSNMLNKJIKFFAN48DA,26,13.48,避難室、通道,鋼筋混凝土造,78年7月8日,五層,
