編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLLLLHLFFAU88CA,11,159.74,商業用,鋼骨鋼筋混凝土造,94年6月13日,一層,一層
RPSNMLLLLHLFFAU56CA,37,113.46,住家用,鋼筋混凝土加強磚造,67年10月4日,二層,一層 二層 騎樓
RPPNMLQKLHLFFBU76CA,,317.77,農舍,鋼骨或鋼骨混合造,104年12月28日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLPLKHLFFAU76EA,44,100.34,住家用,鋼筋混凝土加強磚造,61年4月21日,二層,一層 二層
RPXNMLPLKHLFFAU57EA,20,47.98,住家用,鋼筋混凝土造,85年2月8日,十二層,九層 陽台
RPXNMLPLKHLFFAU57EA,20,15.15,共有部份,鋼筋混凝土造,85年2月8日,十二層,
RPXNMLLKLHLFFAU96CA,23,691.10,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPXNMLLKLHLFFAU96CA,23,12.72,商業用,鋼筋混凝土造,82年1月9日,七層,
RPXOMLKKLHLFFAU96CA,38,70.78,住家用,鋼筋混凝土加強磚造,67年5月22日,二層,一層 二層
RPRNMLQLKHLFFBU17EA,34,71.40,住家用,鋼筋混凝土加強磚造,71年1月30日,一層,一層
RPPNMLLJLHLFFAU88EA,46,88.39,住家用,鋼筋混凝土造,58年7月5日,二層,一層 二層 廚房
RPPOMLPLKHLFFAU86EA,38,142.77,住家用,鋼筋混凝土加強磚造,67年1月10日,二層,一層 二層 騎樓
RPPNMLNJLHLFFAU09EA,41,109.20,住商用,磚石造,64年3月24日,一層,一層
RPQNMLLLLHLFFAU98CA,22,70.75,住家用,鋼筋混凝土造,82年10月6日,六層,六層 陽台
RPQNMLLLLHLFFAU98CA,22,25.85,共有部份,鋼筋混凝土造,82年10月6日,六層,
RPXNMLLLLHLFFAU07CA,1,287.66,住家用,鋼筋混凝土造,104年6月8日,四層,一層 二層 三層 四層 陽台 雨遮
RPPOMLPKLHLFFAU66CA,28,37.35,住家用,鋼筋混凝土造,76年11月17日,七層,六層
RPPOMLPKLHLFFAU66CA,28,10.67,共有部份,鋼筋混凝土造,76年11月17日,七層,
RPQNMLNJLHLFFAU98CA,60,57.39,住家用,加強磚造、木造,45年1月1日,一層,一層 騎樓
RPQNMLRJLHLFFAU76CA,22,26.92,住家用,鋼筋混凝土造,82年11月5日,九層,七層
RPQNMLRJLHLFFAU76CA,22,12.68,共有部份,鋼筋混凝土造,82年11月5日,九層,
RPOOMLLJLHLFFAU68CA,28,138.92,住商用,鋼筋混凝土造,76年11月27日,二層,一層 二層 陽台 屋頂突出物 騎樓
RPSNMLLJLHLFFAU98CA,2,266.71,集合住宅,鋼筋混凝土造,103年5月6日,九層,三層 陽台
RPSNMLLJLHLFFAU98CA,2,149.71,共有部份,鋼筋混凝土造,103年5月6日,九層,
RPSNMLLJLHLFFAU98CA,2,57.53,共有部份,鋼筋混凝土造,103年5月6日,九層,
RPOOMLLKLHLFFAU78CA,20,18.02,住家用,鋼筋混凝土造,84年8月19日,十一層,五層
RPOOMLLKLHLFFAU78CA,20,6.23,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPTOMLTJLHLFFAU37CA,27,85.54,住家用,鋼筋混凝土造,77年8月16日,五層,三層 陽台
RPTOMLTJLHLFFAU37CA,27,.61,共有部份,鋼筋混凝土造,77年8月16日,五層,
RPTOMLTJLHLFFAU37CA,27,7.34,避難室,鋼筋混凝土造,77年8月16日,五層,
RPTOMLTJLHLFFAU37CA,27,7.07,共有部份,鋼筋混凝土造,77年8月16日,五層,
RPPOMLTJLHLFFAU96CA,28,9.37,共有部份,鋼筋混凝土造,76年11月17日,七層,
RPPOMLTJLHLFFAU96CA,28,29.40,住家用,鋼筋混凝土造,76年11月17日,七層,五層
RPOOMLMJLHLFFAU78CA,19,191.53,住家用,鋼筋混凝土造,86年4月29日,四層,一層 二層 三層 四層 陽台 停車場
RPWNMLPKLHLFFAU27CA,9,192.73,住家用,鋼筋混凝土造,95年8月11日,三層,一層 二層 三層 陽台 見其他登記事項
RPPOMLLLLHLFFAU98CA,24,158.17,住家用,鋼筋混凝土造,81年3月18日,三層,一層 二層 三層 陽台
RPROMLLLLHLFFAU56CA,13,111.98,住家用,鋼筋混凝土造,91年12月2日,十三層,九層 陽台
RPROMLLLLHLFFAU56CA,13,64.16,共有部份,鋼筋混凝土造,91年12月2日,十三層,
RPQNMLRJLHLFFCU96CA,30,179.53,住家用,鋼筋混凝土加強磚造,74年11月1日,二層,一層 二層 陽台
RPVNMLQKLHLFFAU27CA,15,1087.95,住商用,鋼筋混凝土造,89年7月20日,四層,一層 二層 三層 四層 屋頂突出物 走廊
RPVNMLQKLHLFFAU27CA,15,86.13,共有部份,鋼筋混凝土造,89年7月20日,四層,
RPVNMLQKLHLFFAU27CA,15,243.30,商業用,鋼筋混凝土造,89年7月20日,四層,一層
RPVNMLQKLHLFFAU27CA,15,28.71,共有部份,鋼筋混凝土造,89年7月20日,四層,
RPQNMLRKLHLFFAU86CA,22,70.77,住家用,鋼筋混凝土造,82年11月8日,六層,三層 陽台 花台
RPQNMLRKLHLFFAU86CA,22,28.28,共有部份,鋼筋混凝土造,82年11月8日,六層,
RPROMLMJLHLFFAU09CA,18,256.85,住家用,鋼筋混凝土造,87年5月7日,四層,一層 二層 三層 四層 陽台 屋頂突出物 停車場
RPXNMLNJLHLFFAU07CA,11,189.15,住家用,鋼筋混凝土造,94年4月21日,四層,一層 二層 三層 四層 陽台 雨遮
RPPNMLSJLHLFFAU76CA,18,85.20,住家用,鋼筋混凝土造,86年5月24日,七層,三層 陽台
RPTNMLTJLHLFFAU27CA,9,189.84,住家用,鋼筋混凝土造,95年12月29日,四層,一層 二層 三層 四層 陽台
RPWNMLKKLHLFFAU76CA,4,279.66,農舍,鋼筋混凝土造,100年9月13日,二層,一層 二層 陽台 見其他登記事項
