鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大里區,房地(土地+建物),臺中市大里區德芳路一段４４０.４４２號,173.36,住,,,1090115,土地2建物2車位0,全,4,透天厝,店舖．住房．門廊．機電設備空間,鋼筋混凝土造,0920124,374.16,8,4,4,有,無,無,71520,191,,0.0,0,,RPOPMLNKKHPFFIB48CC
大雅區,房地(土地+建物),臺中市大雅區雅環路二段１１３巷１３號６樓之４,24.31,住,,,1090114,土地1建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800828,130.34,3,1,2,有,無,無,15000,115,,0.0,0,,RPWNMLNKKHPFFHB98CC
豐原區,房地(土地+建物),臺中市豐原區愛國街２０２巷１２號３樓,22.53,商,,,1090121,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771115,84.57000000000001,3,2,2,有,有,無,10000,118,,0.0,0,,RPTOMLNKKHPFFDB38CC
大里區,土地,大孝段15地號,738.74,住,,,1081004,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,120000,162,,0.0,0,第3、4年度租金每月壹拾肆萬元整、第5、6年度租金每月壹拾伍萬元整,RPQOMLNKKHPFFIB68DC
沙鹿區,房地(土地+建物),臺中市沙鹿區向上路六段７７２號８樓之１０,23.44,住,,,1090120,土地1建物1車位0,八層,9,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010312,93.46000000000001,2,2,1,有,無,有,17000,182,,0.0,0,,RPOOMLOKKHPFFFB18CC
大里區,房地(土地+建物),臺中市大里區中興路一段７１巷１６號,93.98,住,,,1090121,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0621219,79.42,2,2,2,有,無,無,17000,214,,0.0,0,,RPPOMLOKKHPFFIB58CC
西屯區,建物,臺中市西屯區至善路１６３號十樓之７,0.0,住,,,1090120,土地0建物1車位0,十層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830819,29.23,1,1,1,有,有,有,8000,274,,0.0,0,租金含管理費。,RPTPMLOKKHPFFCB48CC
北屯區,房地(土地+建物),臺中市北屯區文昌東四街７１巷６之４號,22.67,住,,,1090120,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731102,73.65,3,2,2,有,無,無,10000,136,,0.0,0,,RPPOMLOKKHPFFBB87CC
北區,房地(土地+建物),臺中市北區博館一街５２之３號,26.22,住,,,1090130,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690516,77.18,3,2,2,有,無,無,14000,181,,0.0,0,,RPSOMLOKKHPFFBB18CC
北屯區,房地(土地+建物),臺中市北屯區思齊街１９號,833.21,住,,,1090214,土地3建物1車位0,見其他登記事項,1,店面(店鋪),見其他登記事項,見其他登記事項,1081204,401.22,0,0,0,無,無,無,120000,299,,0.0,0,,RPXOMLOKKHPFFBB68CC
北屯區,房地(土地+建物)+車位,臺中市北屯區遼寧路一段２６號,26.66,住,,,1090213,土地1建物1車位2,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080717,194.96,0,0,0,無,有,有,45000,231,坡道平面,82.54,0,每期10天租金15000元，一個月租金以3期計算,RPWNMLPKKHPFFBB58CC
北區,房地(土地+建物)+車位,臺中市北區北平四街５號十樓之１１,8.5,商,,,1090130,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071130,61.59,1,1,1,無,有,有,20000,325,坡道平面,28.36,0,,RPXNMLPKKHPFFBB68CC
北區,房地(土地+建物)+車位,臺中市北區北平四街５號十樓之１５,8.5,商,,,1090209,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071130,61.19,1,1,1,無,有,有,20000,327,坡道平面,28.36,0,,RPOOMLPKKHPFFBB87CC
北區,車位,臺中市北區進化北路３１７號等公共設施,0.25,商,,,1090210,土地0建物0車位1,,,其他,,,,15.94,0,0,0,有,有,無,2300,,坡道機械,15.94,2300,,RPTPMLPKKHPFFBB48CC
北區,房地(土地+建物),臺中市北區進化北路３１７號１８樓之１１,5.36,商,,,1090204,土地2建物1車位0,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,68.06,0,0,0,無,無,有,14000,206,,0.0,0,,RPVPMLPKKHPFFBB68CC
北區,車位,臺中市北區進化北路３１７號等公共設施,0.52,商,,,1090205,土地0建物0車位1,,,其他,,,,31.88,0,0,0,有,有,無,3200,,坡道平面,31.88,3200,,RPWPMLPKKHPFFBB78CC
南區,房地(土地+建物),臺中市南區工學北路８６號７樓之３６,1.72,商,,,1090215,土地1建物1車位0,七層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,28.549999999999997,1,0,1,有,有,有,9000,315,,0.0,0,租金總額含管理費,RPROMLPKKHPFFAB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區福科路５１７號１４樓之１,15.79,住,,,1090204,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821118,143.07999999999998,2,2,2,有,有,有,27000,189,坡道平面,15.0,0,,RPRPMLPKKHPFFCB38CC
南屯區,房地(土地+建物)+車位,臺中市南屯區保安五街１７號１２樓之２,24.05,住,,,1090204,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051228,114.45,3,2,2,有,有,有,25000,218,坡道平面,36.07,0,,RPSPMLPKKHPFFCB48CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段６號２２樓之６,5.99,商,,,1090206,土地1建物1車位0,二十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,58.489999999999995,0,0,0,無,有,有,15000,256,,0.0,0,,RPTPMLPKKHPFFCB58CC
西屯區,建物,臺中市西屯區福星路４１７號,0.0,住,,,1090117,土地0建物2車位0,見其他登記事項,4,店面(店鋪),住家用,鋼筋混凝土造,0780911,759.0,0,0,2,有,無,無,510000,672,,0.0,0,租金調整:第1-3年每月51萬，第4-6年每月52萬,RPXQMLPKKHPFFCB09CC
西屯區,建物,臺中市西屯區市政北二路３０１號,0.0,住,,,1090117,土地0建物2車位0,見其他登記事項,,店面(店鋪),,,,439.79,0,0,0,無,無,無,630000,1433,,0.0,0,租金調整:第1-5年每月630000元，第6-10年每月661500元,RPPRMLPKKHPFFCB38CC
西屯區,車位,臺中市西屯區文心路三段６號等公共設施,0.0,,,,1090206,土地0建物0車位1,,,其他,,,,37.8,0,0,0,有,有,無,3000,,坡道平面,37.8,3000,,RPQRMLPKKHPFFCB48CC
