鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗六市,租賃房屋,雲林縣斗六市府文路１９-３號,0.0,,,,1130412,土地0建物0車位0,全,5,透天厝,住宅、樓梯間,鋼筋混凝土造,1100601,25.0,8,1,9,有,無,有,10500,420,,0.0,0,,RPSNMLQJNHJGFAP66CC,分租套房,無,1130501~1140430,有,冷氣、熱水器、冰箱、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市府文路１９-１１號,0.0,,,,1130429,土地0建物0車位0,全,5,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1100601,25.0,8,1,9,有,無,有,9000,360,,0.0,0,多人共同承租2；,RPTNMLQJNHJGFAP76CC,分租套房,無,1130501~1140430,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市府文路１９-１１號,0.0,,,,1130418,土地0建物0車位0,全,5,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1100601,25.0,8,1,9,有,無,有,10500,420,,0.0,0,,RPUNMLQJNHJGFAP86CC,分租套房,無,1130501~1140430,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
斗南鎮,租賃房屋,雲林縣斗南鎮明昌里４鄰新興街２７２巷１６號,0.0,,,,1130430,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0700326,130.6,3,1,2,有,無,有,15000,115,,0.0,0,,RPPNMLQJNHJGFBP09CC,整棟(戶)出租,無,1130501~1140430,無,冷氣、熱水器、洗衣機,社會住宅代管
北港鎮,租賃房屋,雲林縣北港鎮大同路３４９之１號６樓,0.0,,,,1130417,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880603,181.57999999999998,3,1,2,有,有,有,14000,77,,0.0,0,管理費1000元。未租賃車位，建物登記含有車位面積；,RPPNMLRJNHJGFEP86CC,整棟(戶)出租,無,1130417~1140416,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
虎尾鎮,租賃房屋+車位,雲林縣虎尾鎮科虎路,23.09,住,,,1130504,土地1建物1車位1,一層,6,店面(店鋪),店舖,鋼筋混凝土造,1111021,55.56,0,0,0,無,有,無,25000,450,一樓平面,0.0,0,租金總額含稅；管理費；,RPPNMLSJNHJGFDP86CC,,無,1130601~1140531,有,熱水器,
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝５０之１１號,0.0,,,,1130423,土地0建物1車位0,全,3,透天厝,住宅，停車空間,鋼筋混凝土造,0970421,140.16,4,2,3,有,無,有,18000,128,,0.0,0,,RPQNMLSJNHJGFDP96CC,整棟(戶)出租,無,1130425~1140424,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市府文路１９-１１號,0.0,,,,1130508,土地0建物0車位0,全,5,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1100601,25.0,8,1,9,有,無,有,10500,420,,0.0,0,,RPPNMLKKNHJGFAP48CC,分租套房,無,1130302~1140430,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市樂利街５３號５樓之３,0.0,,,,1130501,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.440000000000001,1,0,1,有,有,無,4200,272,,0.0,0,,RPQNMLKKNHJGFAP58CC,獨立套房,有,1130801~1140731,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號６樓之５,0.0,,,,1130428,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.83,1,0,1,有,有,無,4200,265,,0.0,0,,RPRNMLKKNHJGFAP68CC,獨立套房,有,1130501~1131031,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號５樓之１８,0.0,,,,1130422,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,16.29,1,0,1,有,有,無,3850,236,,0.0,0,,RPSNMLKKNHJGFAP78CC,獨立套房,有,1131001~1140930,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０之８號,0.0,,,,1130501,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.510000000000002,1,0,1,有,有,無,4200,311,,0.0,0,,RPPNMLKKNHJGFDP78CC,獨立套房,有,1130901~1140831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
