鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新店區,租賃房屋,新北市新店區新坡一街１０１ 之１ 號６ 樓,0.0,,,,1130216,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840412,52.81,1,1,1,有,有,有,13000,246,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為16300，因新北市計劃租金上限為35000，選擇代租方案須打八折且簽約租金無條件捨去至百分位，實際租賃契約金額13000。管理費每個月1300元不包含在租金內,RPRNMLTKKHJGFCF48CC,獨立套房,有,1130216~1150228,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新店區,租賃房屋,新北市新店區中央路１５３號２７樓之２１,0.0,,,,1130219,土地0建物1車位0,二十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼筋混凝土構造,1011114,94.64,1,0,1,有,有,無,24000,254,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPSNMLTKKHJGFCF58CC,獨立套房,有,1130415~1140414,有,冷氣、熱水器、瓦斯或天然氣,一般轉租
汐止區,租賃房屋,新北市汐止區大同路二段２８３號１８樓-６,0.0,,,,1130217,土地0建物1車位0,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,56.87,1,1,1,有,有,有,18000,317,,0.0,0,,RPPNMLTKKHJGFDF38CC,整棟(戶)出租,有,1130225~1140224,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
汐止區,租賃房屋,新北市汐止區伯爵街５３巷３９號２樓,0.0,,,,1130217,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960413,145.58,3,2,2,有,有,有,22000,151,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為24500，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額22000。管理費每個月3120元不包含在租金內,RPRNMLTKKHJGFDF58CC,整棟(戶)出租,有,1130301~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
淡水區,租賃房屋,新北市淡水區學府路１３６巷５７號七樓,13.49,住,,,1130217,土地1建物0車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961002,21.49,3,0,3,有,有,有,4500,209,,0.0,0,此層格局共隔3間，此次租賃面積為21.49平方公尺租金總額含管理費；網路費；其他第四台；,RPQOMLTKKHJGFEF68CC,分租套房,有,1130217~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
淡水區,租賃房屋,新北市淡水區英專路１９６號五樓,21.96,住,,,1130219,土地1建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690620,16.54,5,0,5,有,無,無,7000,423,,0.0,0,此層格局共隔5間，此次租賃面積為16.54平方公尺租金總額含網路費；其他第四台；續租案件；,RPSOMLTKKHJGFEF88CC,分租套房,無,1130301~1140228,無,冷氣、熱水器,一般代管
淡水區,租賃房屋,新北市淡水區新民街１８０巷７弄６號三樓,44.45,住,,,1130218,土地1建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780822,27.38,5,0,5,有,無,有,8000,292,,0.0,0,此層格局共隔5間，此次租賃面積為27.38平方公尺租金總額含網路費；其他第四台；,RPTOMLTKKHJGFEF98CC,分租套房,無,1130301~1150228,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
八里區,租賃房屋,新北市八里區中華路二段５２０號六樓,0.0,,,,1130216,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821116,105.99,3,2,1,有,有,有,13240,125,,0.0,0,管理費1760元續租案件；,RPQPMLTKKHJGFEF78CC,整棟(戶)出租,有,1130220~1140219,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中和區,租賃房屋,新北市中和區圓通路２８６巷４號４樓,0.0,,,,1130217,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660706,66.0,3,1,1,有,無,有,24000,364,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為26700，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額24000。每個月收網路費399元不包含在租金內,RPTNMLTKKHJGFHF56CC,整棟(戶)出租,無,1130301~1140228,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
永和區,租賃房屋,新北市永和區中正路５９５ 號３ 樓之６,0.0,,,,1130217,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700128,65.37,2,1,1,有,有,有,21000,321,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為23400，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額21000。管理費每個月1090元，不包含在租金內,RPUNMLTKKHJGFHF66CC,整棟(戶)出租,有,1130217~1140216,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
