year,district,cat_dog_ratio,avg_housing_size,ratio_0_4,ratio_single,rental_ratio
2021,萬華區,1.240876,29.740000,0.035053,0.447814,0.005448
2022,中山區,1.447783,32.410000,0.034349,0.471578,0.022153
2022,中正區,1.580311,35.390000,0.037791,0.403665,0.010814
2022,信義區,1.549912,33.900000,0.033904,0.412774,0.009194
2022,內湖區,1.577632,40.810000,0.039496,0.346848,0.007219
2022,北投區,1.498428,37.930000,0.034953,0.363944,0.006142
2022,南港區,1.603659,37.830000,0.038226,0.393153,0.007356
2022,士林區,1.469895,38.270000,0.034324,0.371087,0.008280
2022,大同區,1.542700,31.350000,0.035554,0.434194,0.013209
2022,大安區,1.464824,37.920000,0.036183,0.370483,0.006885
2022,文山區,1.673499,37.630000,0.033561,0.366433,0.004031
2022,松山區,1.544933,37.110000,0.034548,0.366782,0.008591
2022,萬華區,1.746102,29.660000,0.031051,0.456222,0.007730
2023,中山區,1.483221,30.660000,0.032365,0.470252,0.023264
2023,中正區,1.397985,34.960000,0.034917,0.402093,0.016688
2023,信義區,1.736515,32.720000,0.032057,0.413914,0.009832
2023,內湖區,1.789855,38.720000,0.037142,0.347505,0.010120
2023,北投區,1.533808,36.140000,0.033025,0.365943,0.008311
2023,南港區,1.827586,39.040000,0.034855,0.397709,0.008804
2023,士林區,1.522796,38.760000,0.031399,0.371998,0.010023
2023,大同區,1.628378,31.560000,0.033511,0.434698,0.019324
2023,大安區,1.418327,35.380000,0.033870,0.366141,0.009782
2023,文山區,1.760135,35.550000,0.031209,0.368560,0.005236
2023,松山區,1.849765,33.990000,0.032430,0.366005,0.011575
2023,萬華區,1.876214,28.100000,0.028966,0.460605,0.012401
2024,中山區,1.806338,31.310000,0.030909,0.478777,0.027163
2024,中正區,1.763934,37.210000,0.033463,0.410397,0.018756
2024,信義區,1.995984,32.350000,0.030678,0.422134,0.012083
2024,內湖區,2.022544,38.890000,0.036077,0.354470,0.010960
2024,北投區,1.716912,36.360000,0.031701,0.376705,0.010064
2024,南港區,2.004000,38.440000,0.032670,0.405477,0.009575
2024,士林區,1.690994,39.700000,0.029830,0.380375,0.012460
2024,大同區,1.838828,31.200000,0.031330,0.445375,0.025638
2024,大安區,1.462291,36.690000,0.032621,0.371927,0.010764
2024,文山區,1.977982,35.400000,0.029512,0.376929,0.009230
2024,松山區,1.895561,32.890000,0.031372,0.374240,0.010830
2024,萬華區,2.154255,28.770000,0.027467,0.472697,0.018725
