鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉延平路,30.29,,工業區,丁種建築用地,1130306,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,158.0,2,2,2,有,無,9720000,61519,坡道平面,19.78,0,,RPRNMLQLLHJGFCT07CB,福樂家,A棟3號,
屏東市,房地(土地+建物),屏東縣屏東市和生路二段53巷,27.12,,一般農業區,甲種建築用地,1130316,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.32,2,2,2,有,無,6200000,74412,,0.0,0,,RPPNMLRLLHJGFAT76CB,丰雲賞,B3棟3號,
屏東市,房地(土地+建物),屏東縣屏東市和生路二段53巷,27.12,,一般農業區,甲種建築用地,1130307,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.31,2,2,2,有,無,6200000,74421,,0.0,0,,RPQNMLRLLHJGFAT86CB,丰雲賞,B1棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市和生路二段53巷,26.6,,一般農業區,甲種建築用地,1130318,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.3,2,2,2,有,無,7400000,72270,一樓平面,13.97,1450000,,RPRNMLRLLHJGFAT96CB,丰雲賞,A2棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市和生路二段53巷,26.29,,一般農業區,甲種建築用地,1130309,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.67,2,2,2,有,無,7300000,74349,一樓平面,13.97,1300000,,RPSNMLRLLHJGFAT07CB,丰雲賞,B2棟3號,
長治鄉,房地(土地+建物),屏東縣長治鄉中興路65號,113.41,住,,,1130310,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,145.07,5,2,4,有,無,14200000,97884,,0.0,0,,RPPNMLSLLHJGFAT86CB,陶里,B棟8號,
長治鄉,房地(土地+建物),屏東縣長治鄉中興路65號,117.0,住,,,1130315,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,134.14,4,2,3,有,無,14850000,110705,,0.0,0,,RPQNMLSLLHJGFAT96CB,陶里,A棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市和生路一段,32.48,,鄉村區,乙種建築用地,1130314,土地2建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.39,3,2,2,有,無,10570000,83975,坡道平面,27.0,1300000,,RPRNMLSLLHJGFAT07CB,中洲One Park,A棟1號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市和生路二段53巷,48.63,,一般農業區,甲種建築用地,1130301,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.21,4,2,2,有,無,11900000,72345,一樓平面,12.69,1300000,,RPPNMLLMLHJGFAT88CB,丰雲賞,C2棟5號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉光明路292巷,28.45,住,,,1130306,土地2建物1車位1,二層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,103.34,3,2,2,有,無,7750000,72064,升降機械,5.51,700000,,RPPNMLLMLHJGFCT09CB,皇家欣天地3期 森鄰,D棟1號,
