year,district,cat_count,dog_count,cat_dog_ratio,house_count,IV_highrise,IV3_single,IV_elder,total_pop,IV4_rental,IV_edu,log_IV4_rental
2024,信義區,994,498,1.995983935742972,121,0.4974,0.4221337898223694,0.25026,205067,1087,0.567272,6.99117688712121
2025,信義區,1291,434,2.974654377880184,121,0.49670000000000003,0.4391810164720371,0.261484,201446,1625,0.571753,7.393263094763838
2015,內湖區,518,713,0.726507713884993,640,0.506,0.3029330329907551,0.102102,287566,753,0.521262,6.6240652277998935
2016,內湖區,563,821,0.6857490864799025,687,0.5006,0.3072868564178631,0.10898,287733,829,0.533172,6.720220155135295
2017,內湖區,601,718,0.8370473537604457,587,0.4736,0.3114922717669298,0.116985,287771,868,0.523625,6.7661917146603505
2018,內湖區,798,902,0.88470066518847,665,0.4716,0.3152134928590478,0.125523,287429,724,0.534811,6.584791392385716
2019,內湖區,1088,990,1.098989898989899,692,0.5131,0.3226692460009672,0.134547,285795,837,0.545227,6.729824070489475
2020,內湖區,961,833,1.1536614645858343,677,0.5299,0.3296539298031686,0.145385,282525,771,0.553493,6.647688373563329
2021,內湖區,1169,883,1.3238958097395244,732,0.6381,0.3397338524090632,0.156808,276707,629,0.559097,6.444131256700441
2022,內湖區,1199,760,1.5776315789473685,489,0.5983,0.3468481557488694,0.168129,272963,795,0.567957,6.678342114654332
2023,內湖區,1235,690,1.789855072463768,186,0.5616,0.3475050688102201,0.18052,276180,1128,0.576971,7.028201432058005
2024,內湖區,1256,621,2.0225442834138487,192,0.498,0.3544695661510106,0.192495,273748,1225,0.582707,7.110696122978827
2025,內湖區,1346,615,2.1886178861788617,176,0.4669,0.3708123523907134,0.205031,267959,1564,0.587824,7.355001921105257
2015,北投區,444,848,0.5235849056603774,632,0.47309999999999997,0.3185442158389149,0.138097,257862,242,0.46749,5.488937726156687
2016,北投區,451,778,0.5796915167095116,611,0.4041,0.3257442174048335,0.146008,257370,432,0.477227,6.068425588244111
2017,北投區,451,733,0.6152796725784447,556,0.38139999999999996,0.329271695656218,0.154592,256456,323,0.467438,5.777652323222656
2018,北投區,528,667,0.7916041979010495,551,0.5468999999999999,0.3349593829911783,0.163193,255532,389,0.476397,5.963579343618446
2019,北投區,624,724,0.861878453038674,546,0.4274,0.3416757678135813,0.172494,253319,369,0.484751,5.910796644040527
2020,北投區,760,715,1.062937062937063,610,0.4387,0.3475606648933459,0.182731,250144,471,0.491597,6.154858094016418
2021,北投區,840,680,1.2352941176470589,562,0.48969999999999997,0.355732113314679,0.19285,244750,487,0.496001,6.18826412308259
2022,北投區,953,636,1.498427672955975,391,0.5923,0.3639442942406774,0.201952,240725,602,0.506194,6.400257445308821
2023,北投區,862,562,1.5338078291814947,159,0.5124,0.3659433430045132,0.212395,242510,825,0.540966,6.715383386334681
2024,北投區,934,544,1.7169117647058822,153,0.5700000000000001,0.3767048064058787,0.22261,240623,1008,0.551104,6.915723448631314
2025,北投區,1063,526,2.0209125475285172,125,0.5619,0.3972998082587123,0.234235,235678,1354,0.552749,7.21081845347222
2015,南港區,200,305,0.6557377049180327,267,0.5861000000000001,0.3428965279572671,0.128872,122245,149,0.456874,5.003946305945459
2016,南港區,258,335,0.7701492537313432,302,0.5046,0.3456813860582367,0.135868,122516,194,0.467978,5.267858159063328
2017,南港區,280,316,0.8860759493670886,259,0.45909999999999995,0.349804471648389,0.143785,122155,184,0.458301,5.214935757608986
2018,南港區,312,318,0.981132075471698,258,0.5,0.3553098092183015,0.151467,121670,180,0.466901,5.19295685089021
2019,南港區,341,373,0.9142091152815014,301,0.43200000000000005,0.363926576217079,0.159414,120297,274,0.475742,5.6131281063880705
2020,南港區,421,349,1.2063037249283668,292,0.5213,0.3757967090189544,0.168654,118758,258,0.483297,5.552959584921617
2021,南港區,495,303,1.6336633663366336,253,0.5444,0.3846234309623431,0.178684,115780,293,0.488928,5.680172609017068
2022,南港區,526,328,1.603658536585366,198,0.533,0.3931534619323288,0.188255,113798,352,0.496682,5.863631175598097
2023,南港區,530,290,1.827586206896552,70,0.5264,0.3977089116294485,0.19944,113959,425,0.506016,6.052089168924417
2024,南港區,501,250,2.004,73,0.5465,0.4054767948162364,0.210142,112643,464,0.512377,6.139884552226255
2025,南港區,608,224,2.7142857142857144,71,0.6597,0.4254165992557838,0.221047,111239,613,0.520128,6.418364935936212
2015,士林區,501,858,0.583916083916084,743,0.3173,0.3168786214162088,0.148462,290694,628,0.47507,6.4425401664681985
2016,士林區,564,822,0.6861313868613139,657,0.3395,0.3229929399426955,0.157447,289939,649,0.484232,6.47543271670409
2017,士林區,533,852,0.6255868544600939,669,0.33030000000000004,0.328558747956085,0.166739,288295,686,0.472892,6.530877627725885
2018,士林區,635,865,0.7341040462427746,670,0.3305,0.3338976114294218,0.176186,286544,618,0.481448,6.42648845745769
2019,士林區,687,860,0.7988372093023256,665,0.3235,0.3431542140366132,0.186736,283459,631,0.489275,6.447305862541213
2020,士林區,817,944,0.8654661016949152,714,0.3816,0.3517542399526531,0.197988,278451,634,0.494828,6.452048954437226
2021,士林區,1023,883,1.1585503963759909,674,0.3893,0.3630959602086619,0.209065,269682,654,0.498611,6.483107351457199
2022,士林區,1123,764,1.469895287958115,475,0.35350000000000004,0.371086814316419,0.220126,264716,886,0.505465,6.786716950605081
2023,士林區,1002,658,1.5227963525835866,189,0.3687,0.3719984096309789,0.231121,266951,1084,0.515597,6.988413181999592
2024,士林區,1089,644,1.6909937888198758,162,0.4477,0.3803752572772714,0.241728,264194,1356,0.522241,7.212294468500341
2025,士林區,1279,566,2.259717314487633,154,0.3899,0.3979879937501713,0.253557,258163,1701,0.527222,7.438971592395862
2015,大同區,202,328,0.6158536585365854,279,0.3604,0.3777881311513598,0.151433,130929,409,0.426952,6.013715156042802
2016,大同區,296,315,0.9396825396825396,273,0.35559999999999997,0.3836104973446524,0.159282,130071,410,0.437631,6.016157159698354
2017,大同區,302,317,0.9526813880126184,234,0.3792,0.3898468727672968,0.167105,129278,444,0.431584,6.095824562432225
2018,大同區,287,361,0.7950138504155124,271,0.4248,0.3960755533238054,0.175663,127625,457,0.441038,6.124683390894205
2019,大同區,387,363,1.0661157024793388,271,0.4135,0.4033820612083743,0.184128,126043,484,0.450692,6.182084906716632
2020,大同區,437,423,1.033096926713948,327,0.5077,0.4133208003222774,0.193712,123849,521,0.458962,6.255750041753367
2021,大同區,515,455,1.1318681318681318,299,0.6862,0.4254780490611634,0.202232,120772,551,0.464761,6.311734809152915
2022,大同區,560,363,1.5426997245179064,226,0.6477,0.434194177355533,0.210564,118833,691,0.473865,6.53813982376767
2023,大同區,482,296,1.6283783783783785,82,0.6585,0.4346975256374071,0.220345,119930,1027,0.484489,6.934397209928558
2024,大同區,502,273,1.8388278388278387,54,0.5917,0.4453747116171764,0.230091,118992,1378,0.491712,7.228388451573604
2025,大同區,623,328,1.899390243902439,72,0.5936,0.4656880733944954,0.240152,116618,1625,0.498921,7.393263094763838
2015,大安區,458,779,0.5879332477535302,554,0.5196,0.3303322259136212,0.175009,313058,1025,0.631244,6.932447891572509
2016,大安區,526,898,0.5857461024498887,606,0.4918,0.3348269109495834,0.183682,311506,1054,0.638111,6.960347729101308
2017,大安區,488,900,0.5422222222222223,513,0.45640000000000003,0.3384243307712695,0.191758,309969,1008,0.619036,6.915723448631314
2018,大安區,634,739,0.857916102841678,539,0.511,0.3430551663892139,0.199431,308843,1057,0.62669,6.963189985870238
2019,大安區,742,858,0.8648018648018648,625,0.5191,0.3460419235511714,0.207567,307631,903,0.634142,6.805722553416985
2020,大安區,943,980,0.9622448979591836,704,0.5806,0.3515117497998365,0.214883,302644,809,0.640332,6.695798917058491
2021,大安區,1029,917,1.1221374045801529,627,0.6851,0.3638396783515517,0.222563,291410,697,0.643708,6.546785410760524
2022,大安區,1166,796,1.464824120603015,420,0.6523,0.3704829735520532,0.229634,284557,813,0.650667,6.70073110954781
2023,大安區,1068,753,1.4183266932270917,210,0.63,0.3661412074453017,0.240618,291732,1174,0.660713,7.068172000388042
2024,大安區,1047,716,1.4622905027932962,160,0.6618999999999999,0.3719265872026333,0.249969,289908,1295,0.666135,7.166265974133638
2025,大安區,1302,679,1.9175257731958764,144,0.641,0.392218220952854,0.259822,282328,1921,0.670845,7.560601162768557
