鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
頭份市,房地(土地+建物)+車位,苗栗縣頭份市東庄里６鄰昌隆一街３５２號三樓,29.97,住,,,1121202,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061115,198.67000000000002,3,2,2,有,有,16200000,81542,坡道平面,67.82,0,,RPRNMLQJKIIGFFK78DA,79.15,1.38,9.84,有,0197
南庄鄉,房地(土地+建物),苗栗縣南庄鄉獅山村４鄰田美１５０號,2003.0,,山坡地保育區,農牧用地,1121207,土地1建物1車位0,全,一層,透天厝,農業用,鋼架有墻,0860612,88.04,10,2,4,有,無,15000000,170377,,0.0,0,,RPUNMLPKKIIGFFK09DA,88.04,0.0,0.0,無,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市文化里１鄰信義路４４５號七樓,29.86,住,,,1121206,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850712,160.57999999999998,3,2,2,有,有,8500000,52933,坡道平面,0.0,0,,RPSNMLMJJHJGFFK38DA,102.66,0.0,12.05,有,0198
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中興里９鄰中央路３３２號三樓,39.27,住,,,1121211,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051111,231.20000000000002,4,2,2,有,有,23000000,99481,坡道平面,30.12,0,,RPVNMLMJJHJGFFK68DA,128.29,0.0,13.57,有,0199
獅潭鄉,土地,八角林段444-10地號,5740.0,,山坡地保育區,農牧用地,1121213,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,348,,0.0,0,,RPQNMLSJJHJGFAK28DA,0.0,0.0,0.0,無,
大湖鄉,土地,義和段741地號,116.9,,山坡地保育區,丙種建築用地,1121216,土地2建物1車位0,一層，二層,二層,其他,住家用,加強磚造，鋼架造,0711206,133.2,0,0,0,無,無,3300000,28229,,0.0,0,未登記建物；,RPOOMLTJJHJGFAK28DA,0.0,0.0,0.0,無,
公館鄉,土地,出礦坑段36-2地號,1329.0,,山坡地保育區,丙種建築用地,1121215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6800000,5117,,0.0,0,,RPRNMLOJRHIGFBK78DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物),苗栗縣苗栗市福麗里３３鄰忠孝９６號,80.19,,鄉村區,乙種建築用地,1121202,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701226,127.89,4,3,3,有,無,4300000,33623,,0.0,0,,RPPOMLPJJHJGFBK08DA,116.62,0.0,11.27,無,
苗栗市,土地,嘉福段927地號,146.67,住,,,1121215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7100000,48408,,0.0,0,,RPQOMLPJJHJGFBK18DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里３２鄰自治路１５３號四樓,23.64,商,,,1121223,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,108.27,3,2,1,有,無,2900000,26785,,0.0,0,,RPQNMLTJJHJGFBK48DA,98.09,0.0,4.26,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里３鄰仁愛路６４５巷１６號,81.63,住,,,1121204,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040821,234.88,3,3,5,有,無,20000000,85150,,0.0,0,其他增建；,RPWNMLNKKIIGFDK88DA,222.22,2.85,9.81,無,0200
後龍鎮,土地,頭湖段179-1地號,1267.75,,特定農業區,農牧用地,1121227,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,394,,0.0,0,,RPTNMLOJJHJGFDK48DA,0.0,0.0,0.0,無,
頭份市,土地,成功段825地號,5.12,都市：其他:住宅區,,,1121211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,52000,10156,,0.0,0,825地號為公共設施保留地包含公共設施保留地用地；,RPUNMLMKKIIGFFK78DA,0.0,0.0,0.0,無,0201
頭份市,土地,成功段825地號,5.12,都市：其他:住宅區,,,1121222,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,52000,10156,,0.0,0,825地號為公共設施保留地包含公共設施保留地用地；,RPQNMLQLKIIGFFK88DA,0.0,0.0,0.0,無,0201
