鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,建物,臺南市東區崇明路401號,0.0,住,,,1050113,土地0建物1車位0,全,6,透天厝,見其他登記事項,鋼筋混凝土構造,0790627,479.98,0,0,0,無,無,無,66000,138,,0.0,0,,RPSNMLOKJHLFFCD87CC
北區,建物,臺南市北區台南市北區大興街290巷14號,0.0,住,,,1050104,土地0建物1車位0,全,3,透天厝,,鋼筋混凝土造,0690616,74.22,3,1,2,有,無,有,25000,337,,0.0,0,,RPSQMLOKJHLFFAD97CC
北區,房地(土地+建物),臺南市北區長勝路53號,0.0,住,,,1041229,土地1建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0920916,50.35,0,0,0,無,無,無,5000,99,,0.0,0,,RPRPMLPKJHLFFAD87CC
北區,房地(土地+建物),臺南市北區長勝路53號,0.0,住,,,1041229,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0920916,75.52,1,2,2,有,無,無,11500,152,,0.0,0,,RPSPMLPKJHLFFAD97CC
北區,房地(土地+建物),臺南市北區北安路一段135號2樓,205.14,其他,,,1050114,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0741224,146.88,1,1,2,有,無,無,13000,89,,0.0,0,,RPPRMLPKJHLFFAD87CC
東區,房地(土地+建物),臺南市東區德東街293號,0.0,住,,,1050107,土地1建物1車位0,見其他登記事項,8,店面(店鋪),見其他登記事項,鋼筋混凝土構造,1040717,120.52,0,0,2,有,無,無,23000,191,,0.0,0,租賃合約書無填寫土地租賃.租金含管理費,RPVNMLPKJHLFFCD28CC
東區,建物,臺南市東區中華東路2段115號,0.0,住,,,1050114,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土構造,0721022,54.48,0,1,1,有,無,無,20000,367,,0.0,0,,RPPNMLQKJHLFFCD77CC
東區,建物,臺南市東區小東路244號15樓之4,0.0,住,,,1041219,土地0建物1車位0,十五層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0840106,105.13,2,2,2,有,有,有,13500,128,,0.0,0,,RPQNMLQKJHLFFCD87CC
永康區,建物,臺南市永康區中山南路74之14號,0.0,住,,,1050110,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710222,82.28,2,1,1,有,無,有,6500,79,,0.0,0,,RPPNMLQKJHLFFHR07CC
永康區,建物,臺南市永康區龍埔街139巷6號7樓之2,0.0,住,,,1041218,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840624,101.03,3,1,2,有,有,有,12500,124,,0.0,0,,RPQNMLQKJHLFFHR17CC
官田區,土地,番子田段417-24地號,154.0,住,,,1050116,土地1建物0車位0,,,其他,,,,0.0,1,0,0,有,無,無,4000,26,,0.0,0,含增建或未登記建物。,RPQNMLSKJHLFFCR86CC
東區,房地(土地+建物),臺南市東區自由路一段238巷2號,66.0,住,,,1050118,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土構造,0700314,143.12,4,2,3,有,無,有,14000,98,,0.0,0,,RPTOMLSKJHLFFCD48CC
中西區,房地(土地+建物),臺南市中西區安平路314巷151弄30號,164.35,住,,,1041231,土地2建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0810613,195.38,3,2,3,有,無,無,19000,97,,0.0,0,,RPOPMLSKJHLFFAD87CC
中西區,建物,臺南市中西區永福路一段189號7樓,0.0,,,,1050101,土地0建物0車位0,七層,14,辦公商業大樓,見其他登記事項,見其他登記事項,1020604,369.36,0,0,0,無,有,無,73742,200,,0.0,0,,RPSRMLKLJHLFFAD77CC
南區,建物,臺南市南區新都路462巷37號三樓,0.0,,,,1050116,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0701229,32.02,1,1,1,有,無,無,5000,156,,0.0,0,,RPVPMLLLJHLFFCD18CC
