編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLMKQHKFFDQ86CA,,193.15,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPSOMLMKQHKFFDQ96CA,,192.23,停車空間、住宅、梯間,鋼筋混凝土造,104年6月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLNKQHKFFDQ96CA,36,106.56,住家用,鋼筋混凝土加強磚造,69年1月12日,二層,一層 二層
RPPNMLMKQHKFFDQ56CA,39,66.66,住家用,磚造,65年8月4日,一層,一層
RPPOMLMKQHKFFDQ76DA,21,198.44,住房、臥室、停車空間,鋼筋混凝土造,83年8月8日,三層,一層 二層 三層 地下層 見其他登記事項
RPPOMLMKQHKFFDQ76DA,21,20.23,車道﹙共同使用﹚,鋼筋混凝土造,83年8月8日,,
RPRNMLOKQHKFFDQ07DA,25,174.42,住家用,鋼筋混凝土加強磚造,79年5月3日,二層,一層 二層 電梯樓梯間
RPVNMLMKQHKFFBQ07DA,40,410.38,工業用,見其他登記事項,64年11月30日,一層,一層
RPVNMLOKQHKFFDQ47DA,37,95.25,住家用,鋼筋混凝土加強磚造,67年7月15日,二層,一層 二層
RPRNMLRJRHKFFDQ27CA,34,161.57,住商用,鋼筋混凝土加強磚造,70年2月11日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLPLQHKFFDQ37DA,16,98.71,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,
RPPNMLOKQHKFFCQ66CA,36,104.21,住家用,鋼筋混凝土加強磚造,68年6月12日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLPKQHKFFBQ66CA,1,214.66,住宅、樓梯間,鋼筋混凝土造,103年2月24日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPXNMLRKQHKFFCQ77CA,29,166.88,住家用,鋼筋混凝土造,75年10月30日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
