year,district,building_type,count,proportion
2021,內湖區,其他,386,0.1106
2021,內湖區,華廈,926,0.2653
2021,內湖區,透天厝,57,0.0163
2021,北投區,住宅大樓,493,0.2203
2021,北投區,公寓,637,0.2846
2021,北投區,其他,400,0.1787
2021,北投區,華廈,603,0.2694
2021,北投區,透天厝,105,0.0469
2021,南港區,住宅大樓,410,0.3504
2021,南港區,公寓,325,0.2778
2021,南港區,其他,194,0.1658
2021,南港區,華廈,227,0.194
2021,南港區,透天厝,14,0.012
2021,士林區,住宅大樓,394,0.1714
2021,士林區,公寓,740,0.3219
2021,士林區,其他,575,0.2501
2021,士林區,華廈,501,0.2179
2021,士林區,透天厝,89,0.0387
2021,大同區,住宅大樓,760,0.53
2021,大同區,公寓,253,0.1764
2021,大同區,其他,138,0.0962
2021,大同區,華廈,224,0.1562
2021,大同區,透天厝,59,0.0411
2021,大安區,住宅大樓,1097,0.4049
2021,大安區,公寓,475,0.1753
2021,大安區,其他,363,0.134
2021,大安區,華廈,759,0.2802
2021,大安區,透天厝,15,0.0055
2021,文山區,住宅大樓,730,0.304
2021,文山區,公寓,682,0.284
2021,文山區,其他,304,0.1266
2021,文山區,華廈,627,0.2611
2021,文山區,透天厝,58,0.0242
2021,松山區,住宅大樓,748,0.4455
2021,松山區,公寓,385,0.2293
2021,松山區,其他,183,0.109
2021,松山區,華廈,347,0.2067
2021,松山區,透天厝,16,0.0095
2021,萬華區,住宅大樓,699,0.4669
2021,萬華區,公寓,426,0.2846
2021,萬華區,其他,112,0.0748
2021,萬華區,華廈,185,0.1236
2021,萬華區,透天厝,75,0.0501
2022,中山區,住宅大樓,1832,0.5159
2022,中山區,公寓,457,0.1287
2022,中山區,其他,337,0.0949
2022,中山區,華廈,879,0.2475
2022,中山區,透天厝,46,0.013
2022,中正區,住宅大樓,695,0.5088
2022,中正區,公寓,207,0.1515
2022,中正區,其他,174,0.1274
2022,中正區,華廈,265,0.194
2022,中正區,透天厝,25,0.0183
2022,信義區,住宅大樓,750,0.3739
2022,信義區,公寓,568,0.2832
2022,信義區,其他,318,0.1585
2022,信義區,華廈,350,0.1745
2022,信義區,透天厝,20,0.01
2022,內湖區,住宅大樓,1010,0.3534
2022,內湖區,公寓,697,0.2439
2022,內湖區,其他,394,0.1379
2022,內湖區,華廈,700,0.2449
2022,內湖區,透天厝,57,0.0199
2022,北投區,住宅大樓,849,0.3185
2022,北投區,公寓,622,0.2333
2022,北投區,其他,401,0.1504
2022,北投區,華廈,730,0.2738
2022,北投區,透天厝,64,0.024
2022,南港區,住宅大樓,387,0.3274
2022,南港區,公寓,315,0.2665
2022,南港區,其他,231,0.1954
2022,南港區,華廈,243,0.2056
2022,南港區,透天厝,6,0.0051
2022,士林區,住宅大樓,416,0.1759
2022,士林區,公寓,691,0.2922
2022,士林區,其他,754,0.3188
2022,士林區,華廈,420,0.1776
2022,士林區,透天厝,84,0.0355
2022,大同區,住宅大樓,617,0.5238
