鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金城鎮,土地,小西門劃測段664地號,969.71,都市：其他:保護區,,,1131203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6250000,6445,,0.0,0,,RPPNMLKMKIJGFAW09DA,0.0,0.0,0.0,無,025
金城鎮,土地,珠山段492地號,1060.36,都市：其他:農業區,,,1131220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,1226,,0.0,0,,RPPNMLMJJHKGFAW88DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐９８號二樓,42.62,都市：其他:自然村專用區,,,1131209,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131028,93.26,3,2,2,有,無,5900000,63264,,0.0,0,,RPOPMLKKKIJGFAW98DA,72.03,0.0,7.11,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐９８號四樓,42.62,都市：其他:自然村專用區,,,1131209,土地1建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131028,93.26,3,2,2,有,無,6000000,64336,,0.0,0,,RPPPMLKKKIJGFAW09DA,72.03,0.0,7.11,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐９８號,42.62,都市：其他:自然村專用區,,,1131213,土地1建物1車位0,一層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131028,86.15,3,2,2,有,無,6000000,69646,,0.0,0,,RPQNMLNKKIJGFAW66DA,72.03,0.0,0.0,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐９７號三樓,42.62,都市：其他:自然村專用區,,,1131219,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131028,93.26,3,2,2,有,無,5900000,63264,,0.0,0,,RPPOMLNLKIJGFAW76DA,72.03,0.0,7.11,有,
金寧鄉,土地,寧湖二劃測段1407-1地號,114.11,都市：其他:道路用地,,,1131204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,912880,8000,,0.0,0,協議價購；,RPRNMLNJJHKGFAW66EA,0.0,0.0,0.0,無,
金沙鎮,土地,官澳測段368-1地號,97.99,都市：其他:第二類一般管制區,,,1131220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,440955,4500,,0.0,0,協議價購；,RPSNMLNJJHKGFAW76EA,0.0,0.0,0.0,無,
金沙鎮,土地,官澳測段369-1地號,110.76,都市：其他:第二類一般管制區,,,1131216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,498420,4500,,0.0,0,協議價購；,RPTNMLNJJHKGFAW86EA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林６之２１號五樓,42.08,都市：其他:自然村專用區,,,1131215,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131106,96.46000000000001,3,2,2,有,無,8100000,83973,,0.0,0,,RPQNMLNLKIJGFAW76DA,74.7,0.0,7.34,有,
金寧鄉,土地,寧劃段1156地號,461.1,農,,,1131226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3620000,7851,,0.0,0,,RPRNMLQLKIJGFAW17DA,0.0,0.0,0.0,無,026
金寧鄉,土地,后沙劃測段229地號,599.31,農,,,1131214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,7509,,0.0,0,,RPQNMLQJJHKGFAW76DA,0.0,0.0,0.0,無,027
金寧鄉,土地,寧湖三劃段590-24地號,140.18,都市：其他:道路用地,,,1131218,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1668142,11900,,0.0,0,協議價購；,RPPNMLNJJHKGFAW09EA,0.0,0.0,0.0,無,
金沙鎮,土地,沙東劃段127地號,1000.01,農,,,1131213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4200000,4200,,0.0,0,,RPTNMLRLKIJGFAW47DA,0.0,0.0,0.0,無,028
金城鎮,房地(土地+建物),金門縣金城鎮中興路２２巷７號二樓,35.61,住,,,1131216,土地1建物2車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0950329,74.88,2,1,2,有,無,7300000,97489,,0.0,0,,RPRNMLQJJHKGFAW86DA,61.38,0.0,3.21,無,
金寧鄉,土地,寧湖一劃段605地號,1000.01,農,,,1131212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12300000,12300,,0.0,0,,RPPNMLLKKIJGFAW98DA,0.0,0.0,0.0,無,
金寧鄉,土地,中山林段115地號,2122.24,都市：其他:國家公園區,,,1131231,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3800000,1791,,0.0,0,,RPSNMLMJJHKGFAW56DA,0.0,0.0,0.0,無,
